title,content,url,sub_title,year
An introduction to the medicinal plant genome project,"In recent years, genomics has developed rapidly with the application of next-generation sequencing technology. However, very few studies have been carried out on genomics for medicinal plants. This paper introduces the genome research of medicinal plants, including …",https://link.springer.com/article/10.1007/s11684-011-0131-0,"S Chen, L Xiang, X Guo, Q Li - Frontiers of medicine, 2011 - Springer",2011
The parasitic plant genome project: new tools for understanding the biology of Orobanche and Striga,The Parasitic Plant Genome Project has sequenced transcripts from three parasitic species and a nonparasitic relative in the Orobanchaceae with the goal of understanding genetic changes associated with parasitism. The species studied span the trophic spectrum from …,https://www.cambridge.org/core/journals/weed-science/article/parasitic-plant-genome-project-new-tools-for-understanding-the-biology-of-orobanche-and-striga/95E508BFA258DE4C37F09BC877D23F79,"JH Westwood, CW Depamphilis, M Das… - Weed Science, 2012 - cambridge.org",2012
Importance of anchor genomes for any plant genome project,"Progress in agricultural and environmental technologies is hampered by a slower rate of gene discovery in plants than animals. The vast pool of genes in plants, however, will be an important resource for insertion of genes, via biotechnological procedures, into an array of …",https://www.pnas.org/content/95/5/2017.short,"J Messing, V Llaca - … of the National Academy of Sciences, 1998 - National Acad Sciences",1998
The first 50 plant genomes,"… However, a “1000 plant genome project” analogous to that in other communities has yet to … 
The Plant Genome we highlight several omics studies that have used high throughput approaches 
such as gen-omics (SNP detection), epigen-omics (methylation) metagenomics (plant-…",https://core.ac.uk/download/pdf/194193971.pdf,"TP Michael, S Jackson - The plant genome, 2013 - core.ac.uk",2013
A critical comparison of technologies for a plant genome sequencing project,"Background A high-quality genome sequence of any model organism is an essential starting point for genetic and other studies. Older clone-based methods are slow and expensive, whereas faster, cheaper short-read–only assemblies can be incomplete and highly …",https://academic.oup.com/gigascience/article-abstract/8/3/giy163/5281243,"P Paajanen, G Kettleborough, E López-Girona… - …, 2019 - academic.oup.com",2019
Toward a successful multinational crop plant genome initiative,"… (ITMI), the North American Barley Genome Mapping Project, and the above-mentioned 
Arabiodopsis Genome project. Indeed, agricultural … multinational, coordinated plant genome 
project depends on attention to a few general criteria required of any project where success …",https://www.pnas.org/content/95/5/1993.short,"RJ Cook - Proceedings of the National Academy of …, 1998 - National Acad Sciences",1998
Advances in plant genome sequencing,"… Genomics technology has advanced substantially since publication of the first plant genome 
sequence, that of Arabidopsis thaliana, in 2000. Plant genomics researchers have readily 
embraced new algorithms, technologies and approaches to generate genome, transcriptome …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-313X.2012.04894.x,"JP Hamilton, C Robin Buell - The Plant Journal, 2012 - Wiley Online Library",2012
"Plant genome sequences: past, present, future","… The genome is small for a multicellular plant (∼140 Mb), and all five chromosomes (as well as 
… an increase in the quantity of available plant genome sequences, this was initially accompanied 
… In spite of the large range in plant genome sizes, N50 and L50 from all plant genome …",https://www.sciencedirect.com/science/article/pii/S1369526618300918,"PJ Kersey - Current opinion in plant biology, 2019 - Elsevier",2019
The rice genome project in Japan,"… and made rice a model plant for other cereal crop research. Starting in 1998, the Rice 
Genome Research Program will step into a new stage of genomics—that of genome sequencing. 
This project eventually should reveal all of the genomic sequence information in the rice plant …",https://www.pnas.org/content/95/5/2027.short,"T Sasaki - Proceedings of the National Academy of …, 1998 - National Acad Sciences",1998
The Plant genome integrative explorer resource: PlantGen IE. org,"… tremula genome project, we generated an expression atlas comprising 24 samples 
collected from various tissues under a range of abiotic, biotic and seasonal conditions (Tables 
1, S1; Fig. a; Methods S1). All samples collected from glasshouse conditions represent pools …",https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.13557,"D Sundell, C Mannapperuma, S Netotea… - New …, 2015 - Wiley Online Library",2015
